Year,Rank,Song,Artist
2022,1,“Heat Waves“,Glass Animals
2022,2,“As It Was“,Harry Styles
2022,3,“Stay“,The Kid Laroi and Justin Bieber
2022,4,“Easy on Me“,Adele
2022,5,“Shivers“,Ed Sheeran
2022,6,“First Class“,Jack Harlow
2022,7,“Big Energy“,Latto
2022,8,“Ghost“,Justin Bieber
2022,9,“Super Gremlin“,Kodak Black
2022,10,“Cold Heart (Pnau remix)“,Elton John and Dua Lipa
2022,11,“Wait for U“,Future featuring Drake and Tems
2022,12,“About Damn Time“,Lizzo
2022,13,“Bad Habits“,Ed Sheeran
2022,14,“Thats What I Want“,Lil Nas X
2022,15,“Enemy“,Imagine Dragons and JID
2022,16,“Industry Baby“,Lil Nas X and Jack Harlow
2022,17,“ABCDEFU“,Gayle
2022,18,“Need to Know“,Doja Cat
2022,19,“Wasted on You“,Morgan Wallen
2022,20,“Me Porto Bonito“,Bad Bunny and Chencho Corleone
2022,21,“Woman“,Doja Cat
2022,22,“Tití Me Preguntó“,Bad Bunny
2022,23,“Running Up That Hill (A Deal with God)“,Kate Bush
2022,24,“We Don’t Talk About Bruno“,"Carolina Gaitán, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz and the Encanto cast"
2022,25,“Late Night Talking“,Harry Styles
2022,26,“I Like You (A Happier Song)“,Post Malone featuring Doja Cat
2022,27,“You Proof“,Morgan Wallen
2022,28,“Bad Habit“,Steve Lacy
2022,29,“Sunroof“,Nicky Youre and Dazy
2022,30,“One Right Now“,Post Malone and the Weeknd
2022,31,“Good 4 U“,Olivia Rodrigo
2022,32,“Numb Little Bug“,Em Beihold
2022,33,“Jimmy Cooks“,Drake featuring 21 Savage
2022,34,“‘Til You Can’t“,Cody Johnson
2022,35,“Fancy Like“,Walker Hayes
2022,36,“The Kind of Love We Make“,Luke Combs
2022,37,“I Ain’t Worried“,OneRepublic
2022,38,“Break My Soul“,Beyoncé
2022,39,“Something in the Orange“,Zach Bryan
2022,40,“Save Your Tears“,The Weeknd and Ariana Grande
2022,41,“Smokin out the Window“,Silk Sonic (Bruno Mars and Anderson .Paak)
2022,42,“Levitating“,Dua Lipa
2022,43,“In a Minute“,Lil Baby
2022,44,“Moscow Mule“,Bad Bunny
2022,45,“You Right“,Doja Cat and the Weeknd
2022,46,“She Had Me at Heads Carolina“,Cole Swindell
2022,47,“Vegas“,Doja Cat
2022,48,“Pushin P“,Gunna and Future featuring Young Thug
2022,49,“Buy Dirt“,Jordan Davis and Luke Bryan
2022,50,“I Hate U“,SZA
2022,51,“Boyfriend“,Dove Cameron
2022,52,“Glimpse of Us“,Joji
2022,53,“Surface Pressure“,Jessica Darrow
2022,54,“Fall in Love“,Bailey Zimmerman
2022,55,“Love Nwantiti (Ah Ah Ah)“,CKay
2022,56,“Super Freaky Girl“,Nicki Minaj
2022,57,“Hrs and Hrs“,Muni Long
2022,58,“Sand in My Boots“,Morgan Wallen
2022,59,“Mamiii“,Becky G and Karol G
2022,60,“Knife Talk“,Drake featuring 21 Savage and Project Pat
2022,61,“AA“,Walker Hayes
2022,62,“Sweetest Pie“,Megan Thee Stallion and Dua Lipa
2022,63,“Provenza“,Karol G
2022,64,“Essence“,Wizkid featuring Justin Bieber and Tems
2022,65,“All I Want for Christmas Is You“,Mariah Carey
2022,66,“Bam Bam“,Camila Cabello featuring Ed Sheeran
2022,67,“5 Foot 9“,Tyler Hubbard
2022,68,“Get Into It (Yuh)“,Doja Cat
2022,69,“Efecto“,Bad Bunny
2022,70,“Rock and a Hard Place“,Bailey Zimmerman
2022,71,“Doin’ This“,Luke Combs
2022,72,“Oh My God“,Adele
2022,73,“Better Days“,"Neiked, Mae Muller and Polo G"
2022,74,“Meet Me at Our Spot“,The Anxiety: Willow and Tyler Cole
2022,75,“Fingers Crossed“,Lauren Spencer-Smith
2022,76,“All Too Well (Taylor’s Version)“,Taylor Swift
2022,77,“Party“,Bad Bunny and Rauw Alejandro
2022,78,“Después de la Playa“,Bad Bunny
2022,79,“You Should Probably Leave“,Chris Stapleton
2022,80,“Rockin’ Around the Christmas Tree“,Brenda Lee
2022,81,“Broadway Girls“,Lil Durk featuring Morgan Wallen
2022,82,“Take My Name“,Parmalee
2022,83,“What Happened to Virgil“,Lil Durk featuring Gunna
2022,84,“Puffin on Zootiez“,Future
2022,85,“Like I Love Country Music“,Kane Brown
2022,86,“Jingle Bell Rock“,Bobby Helms
2022,87,“Ojitos Lindos“,Bad Bunny and Bomba Estéreo
2022,88,“Trouble with a Heartbreak“,Jason Aldean
2022,89,“A Holly Jolly Christmas“,Burl Ives
2022,90,“Kiss Me More“,Doja Cat featuring SZA
2022,91,“She Likes It“,Russell Dickerson featuring Jake Scott
2022,92,“Never Say Never“,Cole Swindell and Lainey Wilson
2022,93,“Damn Strait“,Scotty McCreery
2022,94,“She’s All I Wanna Be“,Tate McRae
2022,95,“Last Night Lonely“,Jon Pardi
2022,96,“Flower Shops“,Ernest featuring Morgan Wallen
2022,97,“To the Moon“,Jnr Choi and Sam Tompkins
2022,98,“Unholy“,Sam Smith and Kim Petras
2022,99,“One Mississippi“,Kane Brown
2022,100,“Circles Around This Town“,Maren Morris
